Campaign_ID,Platform,Campaign_Name,Ad_Spend,Impressions,Clicks,Leads,Purchases,Revenue
CMP-1000,Meta (Facebook/IG),Brand Awareness - Q3,239.52,18138,678,118,19,3496.8
CMP-1001,TikTok Ads,Retargeting - Q3,2815.72,289511,5001,839,245,20789
CMP-1002,Google Ads,Lead Gen - Q1,3672.06,335757,12561,1603,175,12369.07
CMP-1003,Google Ads,Lead Gen - Q4,2997.25,348438,10341,1651,437,26505.05
CMP-1004,Google Ads,Lead Gen - Q1,4338.99,757334,23876,4497,537,35134.37
CMP-1005,TikTok Ads,Product Launch - Q3,881.85,80544,2972,221,53,6526.7
CMP-1006,TikTok Ads,Brand Awareness - Q2,4477.99,383098,4768,734,163,20317.16
CMP-1007,Meta (Facebook/IG),Product Launch - Q1,3355.03,311241,8821,1529,389,49137.9
CMP-1008,TikTok Ads,Lead Gen - Q1,3293.66,374440,13578,1104,256,33137.54
CMP-1009,TikTok Ads,Holiday Sale - Q2,4361.21,599430,15094,1773,468,24047.92
CMP-1010,TikTok Ads,Brand Awareness - Q4,3894.39,758784,19842,1818,332,37737.06
CMP-1011,Email Promo,Brand Awareness - Q1,1772.61,305777,4402,388,63,7919.83
CMP-1012,Meta (Facebook/IG),Retargeting - Q1,4806.69,935245,45850,3651,747,79233.78
CMP-1013,Email Promo,Product Launch - Q3,2996.88,571211,9698,1016,141,17595.75
CMP-1014,Google Ads,Holiday Sale - Q4,3148.52,444996,7593,1238,200,11868.18
CMP-1015,TikTok Ads,Brand Awareness - Q2,977.8,141298,3302,266,37,3180.14
CMP-1016,Google Ads,Retargeting - Q1,1740.16,239758,10563,1859,433,41307.86
CMP-1017,TikTok Ads,Retargeting - Q3,4558.82,624297,15225,2708,404,67494.91
CMP-1018,Google Ads,Holiday Sale - Q4,1454.46,199462,9260,1841,207,39179.35
CMP-1019,Meta (Facebook/IG),Lead Gen - Q3,2595.36,434629,20413,1044,167,23392.08
CMP-1020,Google Ads,Brand Awareness - Q2,658.77,94220,2133,311,37,5755.2
CMP-1021,LinkedIn Ads,Brand Awareness - Q4,2095.26,155869,2706,226,22,1848.38
CMP-1022,Email Promo,Holiday Sale - Q4,4595.64,645800,18196,1765,310,45390.76
CMP-1023,Email Promo,Brand Awareness - Q3,2463.29,294188,9011,1417,396,44780.2
CMP-1024,Google Ads,Lead Gen - Q3,4895.51,270811,3359,418,59,9637.06
CMP-1025,TikTok Ads,Brand Awareness - Q2,2179.52,227821,6397,351,78,14157.5
CMP-1026,Google Ads,Retargeting - Q2,3518.59,358236,16010,3096,387,63418.16
CMP-1027,Google Ads,Brand Awareness - Q4,472.45,92510,3551,235,42,2107.75
CMP-1028,TikTok Ads,Retargeting - Q3,4529.62,636952,18889,3191,432,43763.52
CMP-1029,Google Ads,Holiday Sale - Q2,3829.47,733410,21351,1166,254,25531.06
